iter	RMSE
0	22854.63494
1	20874.57467
2	19505.53752
3	17545.09493
4	14759.97179
5	14032.01598
6	12927.07239
7	11932.60265
8	11125.97823
9	10251.02726
10	9675.332136
11	9064.01073
12	8663.97094
13	8179.250658
14	7437.811764
15	7109.973195
16	6752.592594
17	6581.594697
18	6265.551263
19	5990.093544
20	5657.772289
21	5419.413558
22	5156.196733
23	4927.189012
24	4807.200885
25	4587.720596
26	4509.712772
27	4377.922336
28	4026.866198
29	3921.745569
30	3765.087203
31	3635.926795
32	3497.634653
33	3352.229597
34	3195.840446
35	3116.851526
36	3011.425341
37	2924.303045
38	2793.668819
39	2715.025787
40	2618.468609
41	2537.808759
42	2497.795076
43	2400.537492
44	2346.711254
45	2292.633864
46	2190.887131
47	2081.700132
48	1997.667739
49	1938.097273
50	1893.574741
51	1846.64218
52	1763.409265
53	1740.510786
54	1664.16563
55	1561.862786
56	1515.580482
57	1470.807497
58	1420.107089
59	1344.556944
60	1328.303069
61	1285.151496
62	1200.905838
63	1164.557698
64	1155.480246
65	1131.402148
66	1108.633775
67	1075.508163
68	1033.81002
69	980.3225425
70	921.984944
71	909.9965183
72	880.9336562
73	854.5093464
74	844.4082821
75	839.4719865
76	811.2863667
77	788.638831
78	747.6763699
79	717.3683356
80	703.0223248
81	683.6250417
82	653.8213061
83	622.4074308
84	612.447117
85	593.3688558
86	567.2875535
87	556.404356
88	540.0569213
89	522.6662654
90	509.4539559
91	472.8435179
92	468.9264364
93	446.6556162
94	424.2230274
95	417.3375238
96	404.6106787
97	386.3964959
98	374.9293063
99	361.3960396
100	343.4112624
101	335.6483118
102	325.3073021
103	313.0647181
104	303.1608147
105	289.8288039
106	273.6227515
107	255.8456129
108	252.1367146
109	242.5430325
110	235.3188668
111	226.1101404
112	217.0233254
113	213.8160438
114	204.1018283
115	197.4398617
116	192.4234089
117	185.0914866
118	181.0182824
119	174.8983168
120	167.7650087
121	158.8555267
122	153.4441383
123	149.755763
124	147.0968396
125	144.4973122
126	140.2768732
127	136.4511729
128	134.3166718
129	129.985865
130	125.4289275
131	121.1591798
132	116.6754561
133	111.465167
134	109.5461164
135	104.8268835
136	101.7437331
137	99.18532245
138	96.85430841
139	93.27039116
140	89.45509354
141	87.08049409
142	84.20252065
143	81.62293612
144	78.76428796
145	77.38652877
146	74.44679573
147	72.05328849
148	69.1438306
149	68.17095331
150	66.28475373
151	62.96670407
152	61.61755093
153	60.8204619
154	58.71053299
155	56.92651269
156	54.92829305
157	53.45648565
158	51.63196445
159	50.46658206
160	48.53171057
161	46.99849161
162	45.02096597
163	44.32888455
164	43.56327522
165	42.98630925
166	41.51206995
167	41.04882935
168	39.47583808
169	38.20587081
170	37.63244137
171	37.24939734
172	35.9955363
173	34.83611681
174	33.16175187
175	32.52952962
176	30.83272027
177	30.53862374
178	29.36572721
179	29.02918775
180	28.65756807
181	27.88810883
182	27.51122659
183	26.14420721
184	25.24267593
185	24.27465452
186	23.76697522
187	22.81065966
188	22.21621945
189	21.74870453
190	21.04647503
191	20.49770523
192	20.03236604
193	18.95918659
194	18.23798756
195	17.3997003
196	16.71652114
197	16.18468052
198	15.72208675
199	15.61226842
