iter	Passed	Remaining
0	0	53
1	0	47
2	1	41
3	1	38
4	1	36
5	2	34
6	2	34
7	2	33
8	3	32
9	3	31
10	3	31
11	4	31
12	4	30
13	5	30
14	5	30
15	5	30
16	6	30
17	6	29
18	6	28
19	7	28
20	7	27
21	7	26
22	7	26
23	8	25
24	8	25
25	8	24
26	8	24
27	9	23
28	9	23
29	9	22
30	9	22
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	15	17
47	15	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	15
54	18	14
55	18	14
56	18	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	21	12
63	21	12
64	22	11
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	31	2
93	32	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	34	0
